,Infected data,Recovered data,Death data,Susceptible,Infected,Recovered
1/22/20,0.0,0.0,0.0,100000.0,2.0,10.0
1/23/20,0.0,0.0,0.0,99999.89083664127,2.0883782560599964,10.020785102678744
1/24/20,0.0,0.0,0.0,99999.77684958765,2.1806617336357315,10.042488678715698
1/25/20,0.0,0.0,0.0,99999.65781741764,2.2770296898912443,10.065152892468491
1/26/20,0.0,0.0,0.0,99999.53350324529,2.3776739000328306,10.088822854679096
1/27/20,0.0,0.0,0.0,99999.40368998432,2.4827701148215513,10.113539900857933
1/28/20,0.0,0.0,0.0,99999.26814746187,2.592504679206739,10.139347858919301
1/29/20,0.0,0.0,0.0,99999.12663054411,2.7070760494557815,10.166293406424408
1/30/20,0.0,0.0,0.0,99998.97887913627,2.826694793154123,10.194426070581377
1/31/20,0.0,0.0,0.0,99998.82461818255,2.951583589205263,10.223798228245242
2/1/20,0.0,0.0,0.0,99998.66355766625,3.0819772278307562,10.25446510591795
2/2/20,0.0,0.0,0.0,99998.49539260968,3.218122610570214,10.286484779748365
2/3/20,0.0,0.0,0.0,99998.31980307418,3.360278750281304,10.319918175532262
2/4/20,0.0,0.0,0.0,99998.13645416015,3.5087167711397473,10.354829068712327
2/5/20,0.0,0.0,0.0,99997.94499600698,3.6637199086393233,10.391284084378162
2/6/20,0.0,0.0,0.0,99997.74506379313,3.825583509591866,10.42935269726628
2/7/20,0.0,0.0,0.0,99997.53627773612,3.9946150321272658,10.469107231760107
2/8/20,0.0,0.0,0.0,99997.3182430924,4.171134045693467,10.510622861889987
2/9/20,0.0,0.0,0.0,99997.0905501576,4.355472231056472,10.553977611333167
2/10/20,0.0,0.0,0.0,99996.85277426628,4.54797338030034,10.599252353413819
2/11/20,0.0,0.0,0.0,99996.60447579206,4.748993396827181,10.646530811103021
2/12/20,0.0,0.0,0.0,99996.34520014763,4.958900295357167,10.695899557018764
2/13/20,0.0,0.0,0.0,99996.07447778464,5.178074201928519,10.747448013425954
2/14/20,0.0,0.0,0.0,99995.79182419386,5.40690735389752,10.801268452236412
2/15/20,0.0,0.0,0.0,99995.49663598936,5.64588816234615,10.857475848285887
2/16/20,0.0,0.0,0.0,99995.18821682775,5.895580249457594,10.916202922780993
2/17/20,0.0,0.0,0.0,99994.86609390138,6.156366427680064,10.977539670931336
2/18/20,0.0,0.0,0.0,99994.52975740757,6.428659455087008,11.041583137340117
2/19/20,0.0,0.0,0.0,99994.17865178987,6.712909120720378,11.108439089408607
2/20/20,0.0,0.0,0.0,99993.81217573807,7.009602244590642,11.178222017336145
2/21/20,0.0,0.0,0.0,99993.4296821882,7.3192626776767735,11.251055134120136
2/22/20,0.0,0.0,0.0,99993.03047832251,7.642451301926258,11.327070375556058
2/23/20,0.0,0.0,0.0,99992.6138255695,7.97976603025509,11.406408400237453
2/24/20,0.0,0.0,0.0,99992.1789396039,8.331841806547772,11.489218589555934
2/25/20,0.0,0.0,0.0,99991.72499034663,8.699350605657319,11.575659047701182
2/26/20,0.0,0.0,0.0,99991.25110196492,9.083001433405254,11.665896601660945
2/27/20,0.0,0.0,0.0,99990.7563528722,9.483540326581611,11.76010680122104
2/28/20,0.0,0.0,0.0,99990.23977572809,9.901750352944934,11.858473918965355
2/29/20,0.0,0.0,0.0,99989.7003574385,10.338451611222276,11.961190950275842
3/1/20,0.0,0.0,0.0,99989.13703915555,10.7945012311092,12.068459613332525
3/2/20,0.0,0.0,0.0,99988.54871627761,11.270793373269775,12.180490349113494
3/3/20,0.0,0.0,0.0,99987.93423844926,11.768259229336588,12.297502321394907
3/4/20,0.0,0.0,0.0,99987.29240956133,12.287867021910728,12.419723416750994
3/5/20,0.0,0.0,0.0,99986.62198775088,12.8306220045618,12.547390244554052
3/6/20,0.0,0.0,0.0,99985.92168540119,13.39756646182791,12.68074813697444
3/7/20,0.0,0.0,0.0,99985.1901691418,13.989779709215686,12.820051148980598
3/8/20,0.0,0.0,0.0,99984.42605984845,14.608378093200253,12.965562058339021
3/9/20,0.0,0.0,0.0,99983.62793264315,15.25451499122526,13.117552365614282
3/10/20,0.0,0.0,0.0,99982.79431689413,15.929380811702849,13.276302294169017
3/11/20,0.0,0.0,0.0,99981.92369621582,16.634202994013684,13.442100790163936
